pupilid,schoolid,district,zone,tracking_assigned,tracking_actual,girl,w_correct,w_incorrect,w_missing,s_correct,s_incorrect,s_missing,a1_correct,a2_correct,a3_correct,a4_correct,a5_correct,a6_correct,a7_correct,a8_correct,spelling_correct,total_score,letter_grade,z_score,avg.yrstaught,total_math_score,d.zoneBUTERE EAST,d.zoneBUTERE WEST,d.zoneKABULA,d.zoneKHWISERO WEST,d.zoneMATUNGU,d.zoneMUMIAS EAST,d.zoneMUNICIPALITY,d.zoneSANGALO,d.zoneSOUTH WANGA
7861059,786,BUTERE/M,KHWISERO WEST,0,0,1,18,6,0,12,18,10,3,1,0,2,0,0,0,0,6,42,C,0.47431128,15.2,6,0,0,0,1,0,0,0,0,0
7901006,790,BUTERE/M,KHWISERO WEST,1,1,0,18,6,0,24,16,0,3,2,0,0,0,0,0,0,1,48,C,0.84250622,NA,5,0,0,0,1,0,0,0,0,0
7901032,790,BUTERE/M,KHWISERO WEST,1,1,0,18,6,0,25,15,0,1,1,2,1,0,0,1,0,2,51,C,1.02660368,NA,7,0,0,0,1,0,0,0,0,0
7901037,790,BUTERE/M,KHWISERO WEST,1,1,0,18,6,0,22,18,0,2,3,1,0,0,0,0,0,7,53,C,1.14933533,NA,6,0,0,0,1,0,0,0,0,0
7901049,790,BUTERE/M,KHWISERO WEST,1,1,0,18,3,3,5,1,34,2,2,1,1,2,2,0,0,10,43,C,0.5356771,NA,10,0,0,0,1,0,0,0,0,0
7951063,795,BUTERE/M,KHWISERO WEST,0,0,1,18,6,0,23,17,0,3,3,2,2,1,0,0,0,4,56,C,1.33343279,NA,11,0,0,0,1,0,0,0,0,0
7951074,795,BUTERE/M,KHWISERO WEST,0,0,1,18,6,0,19,21,0,3,3,0,1,0,0,0,0,6,50,C,0.96523786,NA,7,0,0,0,1,0,0,0,0,0
8581074,858,BUTERE/M,MATUNGU,1,1,1,18,6,0,11,4,25,3,3,1,2,2,1,1,1,6,49,C,0.90387204,10.202381,15,0,0,0,0,1,0,0,0,0
8581153,858,BUTERE/M,MATUNGU,1,1,0,18,6,0,10,8,22,3,0,0,0,0,0,0,0,1,32,D,-0.13934694,10.202381,3,0,0,0,0,1,0,0,0,0
8591063,859,BUTERE/M,MATUNGU,1,1,1,18,6,0,10,8,22,3,2,2,2,1,1,1,0,7,47,C,0.78114039,9.666667,13,0,0,0,0,1,0,0,0,0
8591077,859,BUTERE/M,MATUNGU,1,1,0,18,6,0,8,1,31,3,3,3,2,3,0,0,0,10,50,C,0.96523786,9.666667,14,0,0,0,0,1,0,0,0,0
8591097,859,BUTERE/M,MATUNGU,1,1,0,18,6,0,15,8,17,2,3,0,2,3,0,0,0,8,51,C,1.02660368,9.666667,10,0,0,0,0,1,0,0,0,0
8601061,860,BUTERE/M,MATUNGU,1,1,1,18,6,0,13,17,10,3,0,0,0,0,0,0,0,4,38,D,0.22884799,14.5,3,0,0,0,0,1,0,0,0,0
8611061,861,BUTERE/M,MATUNGU,1,1,0,18,0,6,5,1,34,3,3,1,2,0,1,1,0,5,39,D,0.29021382,NA,12,0,0,0,0,1,0,0,0,0
8621109,862,BUTERE/M,MATUNGU,1,1,1,18,6,0,2,2,36,3,3,1,1,2,0,0,0,4,34,D,-0.01661529,11.125,10,0,0,0,0,1,0,0,0,0
8621135,862,BUTERE/M,MATUNGU,1,0,1,18,6,0,12,2,26,3,3,2,2,3,0,0,0,8,51,C,1.02660368,11.125,13,0,0,0,0,1,0,0,0,0
8641074,864,BUTERE/M,MATUNGU,0,0,1,18,6,0,7,8,25,3,3,3,2,3,2,1,1,1,44,C,0.59704293,NA,19,0,0,0,0,1,0,0,0,0
8641094,864,BUTERE/M,MATUNGU,0,0,1,18,6,0,7,8,25,3,3,0,3,0,1,0,0,3,38,D,0.22884799,NA,10,0,0,0,0,1,0,0,0,0
8671047,867,BUTERE/M,MATUNGU,0,0,1,18,6,0,5,6,29,3,1,1,2,1,0,0,0,5,36,D,0.10611635,12.8125,8,0,0,0,0,1,0,0,0,0
8781021,878,BUTERE/M,MATUNGU,1,0,1,18,6,0,8,2,30,3,3,1,2,0,0,0,0,1,36,D,0.10611635,6.2,9,0,0,0,0,1,0,0,0,0
8861015,886,BUTERE/M,MATUNGU,0,0,0,18,6,0,21,9,10,2,3,0,2,1,1,0,0,3,51,C,1.02660368,14.5,9,0,0,0,0,1,0,0,0,0
8861062,886,BUTERE/M,MATUNGU,0,0,1,18,6,0,12,5,23,2,3,1,2,2,1,0,0,9,50,C,0.96523786,14.5,11,0,0,0,0,1,0,0,0,0
8891078,889,BUTERE/M,MATUNGU,1,1,1,18,6,0,18,12,10,2,1,0,0,0,0,0,0,1,40,C,0.35157964,NA,3,0,0,0,0,1,0,0,0,0
8921021,892,BUTERE/M,MATUNGU,1,1,1,18,6,0,18,12,10,2,2,1,0,0,0,0,0,6,47,C,0.78114039,12.8,5,0,0,0,0,1,0,0,0,0
8921058,892,BUTERE/M,MATUNGU,1,0,1,18,2,4,8,7,25,3,3,0,2,0,0,0,0,6,40,C,0.35157964,12.8,8,0,0,0,0,1,0,0,0,0
8961056,896,BUTERE/M,MATUNGU,1,1,1,18,6,0,9,6,25,3,2,1,2,0,1,0,0,1,37,D,0.16748217,2.097222,9,0,0,0,0,1,0,0,0,0
8961064,896,BUTERE/M,MATUNGU,1,0,0,18,6,0,7,8,25,3,3,0,2,0,0,0,0,1,34,D,-0.01661529,2.097222,8,0,0,0,0,1,0,0,0,0
8971041,897,BUTERE/M,MATUNGU,1,1,1,18,6,0,10,5,25,3,3,0,2,0,1,0,0,2,39,D,0.29021382,13.010417,9,0,0,0,0,1,0,0,0,0
9381043,938,BUTERE/M,MUMIAS EAST,0,0,1,18,6,0,5,10,25,2,3,2,0,0,2,0,0,4,36,D,0.10611635,20.571429,9,0,0,0,0,0,1,0,0,0
9381049,938,BUTERE/M,MUMIAS EAST,0,0,1,18,6,0,20,10,10,2,0,0,0,0,0,0,0,0,40,C,0.35157964,20.571429,2,0,0,0,0,0,1,0,0,0
9381097,938,BUTERE/M,MUMIAS EAST,0,0,0,18,6,0,6,9,25,3,3,1,2,2,0,1,0,5,41,C,0.41294546,20.571429,13,0,0,0,0,0,1,0,0,0
9381105,938,BUTERE/M,MUMIAS EAST,0,0,0,18,6,0,17,13,10,3,3,1,0,2,2,0,0,6,52,C,1.0879695,20.571429,11,0,0,0,0,0,1,0,0,0
9421031,942,BUTERE/M,MUMIAS EAST,1,1,0,18,6,0,16,14,10,1,3,1,2,2,0,1,0,3,47,C,0.78114039,NA,11,0,0,0,0,0,1,0,0,0
9421054,942,BUTERE/M,MUMIAS EAST,1,1,0,18,6,0,2,4,34,2,3,1,0,3,1,1,0,7,38,D,0.22884799,NA,12,0,0,0,0,0,1,0,0,0
9431044,943,BUTERE/M,MUMIAS EAST,0,0,1,18,6,0,5,7,28,3,2,0,2,2,0,0,0,3,35,D,0.04475053,13.527778,9,0,0,0,0,0,1,0,0,0
9451054,945,BUTERE/M,MUMIAS EAST,0,1,0,18,6,0,16,24,0,3,3,2,2,0,2,1,0,0,47,C,0.78114039,6.25,14,0,0,0,0,0,1,0,0,0
9461060,946,BUTERE/M,MUMIAS EAST,1,1,1,18,6,0,24,16,0,3,2,1,2,0,0,0,0,3,53,C,1.14933533,16.833333,8,0,0,0,0,0,1,0,0,0
9461081,946,BUTERE/M,MUMIAS EAST,1,1,1,18,6,0,8,7,25,3,3,3,2,0,0,0,0,4,41,C,0.41294546,16.833333,11,0,0,0,0,0,1,0,0,0
9501018,950,BUTERE/M,MUMIAS EAST,1,0,1,18,6,0,7,8,25,1,3,0,0,0,0,0,0,2,31,D,-0.20071276,18.5,4,0,0,0,0,0,1,0,0,0
9501062,950,BUTERE/M,MUMIAS EAST,1,1,0,18,6,0,7,8,25,3,2,2,2,1,1,0,0,7,43,C,0.5356771,18.5,11,0,0,0,0,0,1,0,0,0
9541006,954,BUTERE/M,MUMIAS EAST,0,0,1,18,6,0,5,4,31,3,3,1,2,3,1,0,0,7,43,C,0.5356771,12.833333,13,0,0,0,0,0,1,0,0,0
9571009,957,BUTERE/M,MUMIAS EAST,0,0,0,18,6,0,12,10,18,3,1,1,2,1,0,0,0,4,42,C,0.47431128,3.5,8,0,0,0,0,0,1,0,0,0
9571074,957,BUTERE/M,MUMIAS EAST,0,1,1,18,6,0,3,7,30,3,2,0,0,0,1,1,0,5,33,D,-0.07798112,3.5,8,0,0,0,0,0,1,0,0,0
9611018,961,BUTERE/M,SOUTH WANGA,0,1,1,18,6,0,18,12,10,3,1,1,0,0,1,0,0,3,45,C,0.65840875,NA,6,0,0,0,0,0,0,0,0,1
9621007,962,BUTERE/M,SOUTH WANGA,0,1,1,18,6,0,13,3,24,3,2,1,2,0,1,0,0,9,49,C,0.90387204,NA,9,0,0,0,0,0,0,0,0,1
9621040,962,BUTERE/M,SOUTH WANGA,0,0,0,18,6,0,9,4,27,2,1,0,0,0,1,0,0,6,37,D,0.16748217,NA,4,0,0,0,0,0,0,0,0,1
